CNAE,Descrição
6911702,ATIVIDADES AUXILIARES DA JUSTIÇA                                                                                         
5912099,"ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO NÃO ESPECIFICADAS ANTERIORMENTE        "
4399199,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE                                                  
5911199,"ATIVIDADES DE PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO NÃO ESPECIFICADAS ANTERIORMENTE            "
5510802,APART-HOTÉIS                                                                                                             
7319003,MARKETING DIRETO                                                                                                         
4612500,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE COMBUSTÍVEIS, MINERAIS, PRODUTOS SIDERÚRGICOS E QUÍMICOS              "
121101,"HORTICULTURA, EXCETO MORANGO                                                                                             "
4299599,OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE                                                         
3839499,RECUPERAÇÃO DE MATERIAIS NÃO ESPECIFICADOS ANTERIORMENTE                                                                 
3321000,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS                                                                        
4312600,PERFURAÇÕES E SONDAGENS                                                                                                  
4637106,COMÉRCIO ATACADISTA DE SORVETES                                                                                          
7729202,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO E PESSOAL; INSTRUMENTOS MUSICAIS                              "
4785799,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS USADOS                                                                              
6810202,ALUGUEL DE IMÓVEIS PRÓPRIOS                                                                                              
4618402,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE INSTRUMENTOS E MATERIAIS ODONTO-MÉDICO-HOSPITALARES                   
1099601,FABRICAÇÃO DE VINAGRES                                                                                                   
3329501,SERVIÇOS DE MONTAGEM DE MÓVEIS DE QUALQUER MATERIAL                                                                      
8591100,ENSINO DE ESPORTES                                                                                                       
4619200,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MERCADORIAS EM GERAL NÃO ESPECIALIZADO                                
2710402,"FABRICAÇÃO DE TRANSFORMADORES, INDUTORES, CONVERSORES, SINCRONIZADORES E SEMELHANTES, PEÇAS E ACESSÓRIOS                 "
5813100,EDIÇÃO DE REVISTAS                                                                                                       
2543800,FABRICAÇÃO DE FERRAMENTAS                                                                                                
5240199,"ATIVIDADES AUXILIARES DOS TRANSPORTES AÉREOS, EXCETO OPERAÇÃO DOS AEROPORTOS E CAMPOS DE ATERRISSAGEM                    "
5812302,EDICAO DE JORNAIS NAO DIARIOS
7319004,CONSULTORIA EM PUBLICIDADE                                                                                               
8532500,EDUCAÇÃO SUPERIOR - GRADUAÇÃO E PÓS-GRADUAÇÃO                                                                            
8592903,ENSINO DE MÚSICA                                                                                                         
4744006,COMÉRCIO VAREJISTA DE PEDRAS PARA REVESTIMENTO                                                                           
